(0,3394) 21776 14038 14142 5181 8430 5836 8796 1920 12539 10243 20598 3025 1422 18403 2714 8654 8153 22184 11782 20063 10352 7745 2021 16375 6158 3649 9438 18495 18233 7697 32 4338 10873 92 18020 21779 6168 16987 10466 20657 1724 4226 16042 5888 11032 812 1522 8177 12536 17747 257 378 12268 8754 12832 16668 18668 18647 8084 986 14267 2044 8950 17690 3817 16770 22291 1700 18316 1137 9870 19045 21979 4216 20156 5891 19919 16785 7892 4223 909 19609 7673 9233 5979 8192 17813 16314 2493 13840 5746 1084 18743 21144 9947 7050 1515 13939 18783 10827
(20,13026) 2534 11386 11226 17400 372 7750 17329 16403 9776 9227 13912 8110 20103 16443 352 9641 21828 12023 14678 5819 22030 14737 972 9397 2036 10317 6798 21680 6288 6829 3620 3366 21749 13045 8066 5374 3868 8338 18800 10575 5408 5465 11128 20795 18593 20955 9607 15677 11917 7107 20665 12991 7975 10748 19973 20161 11196 21428 18222 18512 2195 17500 8034 6693 4046 18617 300 13536 9868 7226 9591 4859 18921 1053 16564 5886 8866 7315 8080 5227 9867 17115 22277 14917 2823 5184 12864 20636 13490 14199 11430 22516 10600 12392 2537 14036 10067 10450 19448 2272
(28,5415) 22095 11376 9075 20876 14938 9173 4629 21322 1993 4698 21103 2793 4525 19968 11174 12962 3963 2282 18055 14629 3865 9597 1140 9530 20483 11995 8623 9993 8963 15008 11446 1564 9949 6723 19587 3497 11456 12767 21842 2175 13789 18742 10666 9048 9328 11243 19967 9947 14814 2812 142 2099 10909 16737 14168 14538 4304 1499 2702 5632 10849 7544 9741 6779 15725 3192 9407 17322 19352 3110 20644 20213 12648 7159 17505 5698 9701 3242 4920 10050 15903 18892 12572 9833 364 12272 17274 10542 8021 21985 5186 20630 7656 3796 17950 11344 3651 1886 5921 6847
(30,8369) 13868 7168 20579 7288 5816 17207 12138 14421 8311 17704 9973 18947 12235 18239 9158 13574 8393 1683 13213 6060 1734 20519 22296 8336 20197 17671 17245 11182 19270 21018 19291 9260 14078 8043 21564 15870 10196 20025 20713 2650 9370 827 1533 970 22233 4615 2149 2305 10135 2484 5174 16875 7799 12415 7939 7285 22283 4813 21489 20906 5794 11969 4568 16836 9188 9112 5670 20408 7401 4202 19169 11557 15244 13496 20143 12513 7639 6370 18814 10044 15055 17058 15220 21008 21507 7942 4519 20984 20799 15854 19841 16084 1995 1475 6381 2336 12488 12106 21169 5744
(37,3144) 5700 1375 21667 2111 1343 11151 10202 15808 15158 13490 20831 14825 20846 21947 19633 12448 19566 10522 16138 12989 15015 2031 16957 5317 1597 8728 19223 13994 2511 1202 14465 18656 1777 14853 6751 825 22461 3503 6452 10542 22414 15601 19759 16973 10524 851 14070 14704 14241 9039 6619 10828 22397 18601 5363 20918 9566 22608 21256 6169 3083 3741 15676 3037 14509 15230 7662 4551 21543 18243 15775 4682 9445 12158 9578 21125 8655 1082 3894 20668 18827 16978 17533 10768 12287 15338 2487 10240 16433 6336 19209 13157 5236 20707 16147 13559 9816 7252 18019 11302
(38,8942) 6655 3732 18218 9244 17196 991 18899 15391 21730 9455 10664 3866 8129 20677 16307 10969 7096 20568 5204 7920 10558 14137 22197 11082 14932 22345 14702 8131 5385 15847 4048 3197 10694 18250 3750 7839 1 7288 2892 13128 10113 13915 17999 7243 2329 11059 18210 15231 11391 4147 4173 18764 20886 13561 10931 797 2727 18068 10843 13096 2412 3108 4382 15553 15233 1989 3509 20659 21782 2286 7989 7163 17226 1627 12352 13404 9641 14627 4746 6023 5795 9646 22515 2649 816 3548 6419 7902 1662 5745 9080 21029 20938 12826 1064 14647 3718 18847 4231 14045
(41,8942) 2401 11688 9139 13103 2670 15787 5181 19323 7704 8262 19839 7895 14945 17896 3435 19339 2802 13063 18320 8026 21031 6714 821 9962 21162 20540 16826 20280 3241 2043 17052 21888 16592 6268 13446 18258 19841 3480 3465 8780 10326 636 12701 9736 18517 14406 15333 15484 1240 2946 18170 11630 7149 4006 15544 14018 17376 16747 248 16919 6444 12395 10993 7460 13595 3024 4835 7 6654 3718 18640 9555 10797 8382 3692 19195 14722 19358 176 80 8229 22128 8701 14733 3530 13620 7892 6531 881 8142 8169 4999 3998 4706 3309 15413 2338 12106 8482 7054
(43,4307) 16545 21891 12766 10102 20813 21946 11529 8552 20150 18685 6058 17976 2787 15093 20044 12588 14660 400 16345 10480 9198 9111 1609 4109 9228 14363 19521 14657 10630 16533 4043 6420 18583 18474 5713 14018 5711 20474 10240 735 8641 2296 10635 13987 15672 16384 12814 15509 10493 19778 6801 8256 132 8682 12143 6107 6451 10293 17450 15506 13888 13193 22177 15683 15307 4468 21917 8355 11277 17204 5178 12391 10216 8978 9538 2808 19392 12756 5428 8638 5522 20658 12509 11693 2962 15716 7276 21760 10690 13921 16984 5554 4527 18854 14673 9938 8266 13351 3062 12083
(47,11152) 5560 3625 8150 13883 17485 14219 21842 21089 1733 16781 3149 17390 12657 1469 9308 12641 12458 6048 9645 4133 14760 21614 672 21 6519 10966 10281 8689 2279 14136 12529 2432 11446 20298 17168 16456 6462 10261 5070 10529 20533 998 11481 5812 15134 5147 12495 11919 20339 4756 324 5715 15304 1708 9634 21618 5086 7418 21987 17803 20722 2372 11972 9544 134 19389 1406 21542 7621 20502 22135 20560 15890 16731 6854 6739 15453 10277 12544 16105 19124 19067 19300 4282 7191 18477 19554 11563 16635 14765 14095 12301 13041 2534 14207 1410 6773 4358 20003 16190
(55,826) 12289 10536 2766 20029 7741 22480 11243 7085 2777 10362 11925 9355 17699 19629 19402 18711 10150 6213 44 14362 8583 12474 11122 2937 16224 229 2833 15484 13251 10789 11272 19371 17370 15562 3279 14471 12045 10138 7524 1777 1001 11389 6649 17707 9199 13060 4039 12904 20069 722 17088 19289 6754 16652 21670 18060 11468 3450 20287 10751 19659 5648 1644 9832 16304 3381 3425 21564 15720 2707 8624 4526 18185 5006 2729 14529 21195 16138 2827 14672 20489 7799 1993 7154 11587 15859 10477 13488 17736 18385 17079 10767 7639 9171 3932 4191 22397 16774 21747 17116
